City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
603,Dzhebariki-Khaya,62.2167,135.8,20.66,90,100,6.33,RU,overcast clouds,2021-04-18 18:45:38
604,Basco,20.4487,121.9702,73.94,66,100,29.15,PH,overcast clouds,2021-04-18 18:45:38
605,Fez,34.0372,-4.9998,68.0,45,0,3.13,MA,clear sky,2021-04-18 18:42:15
606,Ferme-Neuve,46.7001,-75.4493,57.2,41,100,4.61,CA,overcast clouds,2021-04-18 18:45:39
607,Alugan,12.2188,125.4808,76.87,91,100,26.15,PH,heavy intensity rain,2021-04-18 18:45:39
608,Wejherowo,54.6057,18.2356,52.0,71,0,5.75,PL,clear sky,2021-04-18 18:45:40
609,Lar,26.2039,83.9717,83.55,17,0,8.3,IN,clear sky,2021-04-18 18:45:41
610,Sungaipenuh,-2.0833,101.3833,63.39,97,77,1.05,ID,broken clouds,2021-04-18 18:45:41
611,Tynda,55.1667,124.7167,19.62,72,100,11.3,RU,overcast clouds,2021-04-18 18:45:42
612,Aktau,43.65,51.2,51.8,87,20,4.47,KZ,few clouds,2021-04-18 18:45:42
613,Saint-Georges,12.0564,-61.7485,86.0,62,20,27.63,GD,few clouds,2021-04-18 18:45:42
614,Constantine,36.365,6.6147,46.4,71,20,6.91,DZ,few clouds,2021-04-18 18:45:43
615,Tsabong,-26.0217,22.401,72.09,34,5,7.87,BW,clear sky,2021-04-18 18:45:43
616,Kenai,60.5544,-151.2583,42.8,52,40,8.05,US,scattered clouds,2021-04-18 18:45:43
617,Chara,56.9064,118.2631,0.95,79,46,3.06,RU,scattered clouds,2021-04-18 18:45:43
618,Turbat,26.0023,63.044,83.08,31,64,3.33,PK,broken clouds,2021-04-18 18:45:44
619,Levokumka,44.2317,43.15,55.4,76,100,6.71,RU,overcast clouds,2021-04-18 18:45:44
620,Mizan Teferi,6.9833,35.5833,65.3,57,34,3.96,ET,scattered clouds,2021-04-18 18:45:44
621,Barayong,13.1,123.7167,75.09,95,100,11.25,PH,heavy intensity rain,2021-04-18 18:45:45
622,Bitkine,11.9801,18.2138,93.61,8,100,6.13,TD,overcast clouds,2021-04-18 18:45:45
623,Sheopur,25.6667,76.7,86.49,15,25,8.57,IN,scattered clouds,2021-04-18 18:45:45
624,Seymchan,62.8833,152.4333,10.69,92,100,0.81,RU,overcast clouds,2021-04-18 18:45:46
625,Little Current,45.9793,-81.9248,51.8,81,26,6.91,CA,scattered clouds,2021-04-18 18:45:46
626,Burgeo,47.6167,-57.6152,39.65,95,100,22.12,CA,overcast clouds,2021-04-18 18:44:08
627,Rorvik,64.8621,11.2373,50.0,50,0,12.46,NO,clear sky,2021-04-18 18:45:47
628,Coro,11.4045,-69.6734,87.94,57,81,23.31,VE,broken clouds,2021-04-18 18:45:47
629,Orange Cove,36.6244,-119.3137,79.0,38,0,3.0,US,clear sky,2021-04-18 18:45:47
630,Peterongan,-7.5394,112.2792,77.0,88,40,2.3,ID,scattered clouds,2021-04-18 18:45:48
631,Gejiu,23.306,103.1635,52.12,94,62,4.85,CN,broken clouds,2021-04-18 18:45:48
632,Ilhabela,-23.7781,-45.3581,74.62,81,45,5.91,BR,scattered clouds,2021-04-18 18:45:48
633,Tual,-5.6667,132.75,81.27,76,100,9.33,ID,overcast clouds,2021-04-18 18:45:49
634,Oyama,36.3,139.8,57.99,43,40,6.91,JP,scattered clouds,2021-04-18 18:45:49
635,Jamsa,61.8642,25.19,50.0,34,0,4.61,FI,clear sky,2021-04-18 18:45:49
636,Kattivakkam,13.2167,80.3167,84.2,84,20,6.91,IN,few clouds,2021-04-18 18:45:50
637,Tevaitoa,-16.7833,-151.5,82.2,70,21,13.78,PF,few clouds,2021-04-18 18:45:50
638,Agirish,61.9247,63.0231,17.19,82,32,6.35,RU,scattered clouds,2021-04-18 18:45:50
639,Evans,33.5337,-82.1307,78.01,29,20,5.75,US,few clouds,2021-04-18 18:45:51
640,Genthin,52.4,12.1667,50.0,90,100,4.97,DE,moderate rain,2021-04-18 18:45:51
641,Balingen,48.2752,8.8546,44.01,77,86,1.14,DE,overcast clouds,2021-04-18 18:45:52
642,Ribas Do Rio Pardo,-20.4431,-53.7592,91.42,27,0,9.93,BR,clear sky,2021-04-18 18:45:52
643,Odweyne,9.4092,45.064,77.43,50,87,2.84,SO,light rain,2021-04-18 18:45:52
644,Kuusankoski,60.907,26.6244,50.0,34,0,6.91,FI,clear sky,2021-04-18 18:45:52
645,Kwekwe,-18.9281,29.8149,58.77,56,11,8.95,ZW,few clouds,2021-04-18 18:45:53
646,Vyshkov,52.4764,31.6873,48.2,76,0,4.47,RU,clear sky,2021-04-18 18:45:53
647,Hailar,49.2,119.7,32.25,42,0,17.67,CN,clear sky,2021-04-18 18:45:54
648,Santander,43.4647,-3.8044,55.4,58,0,6.91,ES,clear sky,2021-04-18 18:45:54
649,Traverse City,44.7631,-85.6206,51.8,35,20,9.22,US,few clouds,2021-04-18 18:45:54
650,Kamra,33.7473,73.5111,64.99,65,0,1.01,PK,clear sky,2021-04-18 18:45:55
651,Cantapoy,9.4906,125.4364,79.84,78,100,18.34,PH,light rain,2021-04-18 18:45:55
652,Abaete,-19.16,-45.4458,82.09,42,82,4.68,BR,broken clouds,2021-04-18 18:45:56
653,Keningau,5.3378,116.1602,78.8,83,20,5.75,MY,few clouds,2021-04-18 18:45:56
654,Jequitinhonha,-16.4339,-41.0033,83.14,55,51,5.48,BR,broken clouds,2021-04-18 18:45:57
655,Slonim,53.0867,25.3219,47.79,93,10,6.22,BY,clear sky,2021-04-18 18:45:57
656,Graaff-Reinet,-32.2522,24.5308,73.0,24,84,3.0,ZA,broken clouds,2021-04-18 18:41:13
657,Hirado,33.3597,129.5531,51.01,27,0,1.01,JP,clear sky,2021-04-18 18:45:58
658,Ballina,-28.8667,153.5667,59.0,82,40,9.22,AU,scattered clouds,2021-04-18 18:45:59
659,Comodoro Rivadavia,-45.8667,-67.5,75.2,23,0,19.57,AR,clear sky,2021-04-18 18:45:59
660,Harper,4.375,-7.7169,80.92,75,100,7.7,LR,overcast clouds,2021-04-18 18:45:59
661,Sioux Lookout,50.1001,-91.917,30.2,86,90,13.8,CA,snow,2021-04-18 18:46:00
662,Panalingaan,8.7842,117.4231,78.13,87,100,8.48,PH,light rain,2021-04-18 18:46:00
663,Jacqueville,5.2052,-4.4146,86.0,74,20,10.36,CI,few clouds,2021-04-18 18:46:00
664,Bryan,30.6744,-96.37,64.4,45,1,11.5,US,clear sky,2021-04-18 18:46:01
665,Teguise,29.0605,-13.564,68.0,60,20,18.41,ES,few clouds,2021-04-18 18:46:01
666,Magole,-6.3667,37.3667,71.6,94,75,0.72,TZ,broken clouds,2021-04-18 18:46:01
667,Woodward,36.4337,-99.3904,60.8,31,1,11.5,US,clear sky,2021-04-18 18:46:02
668,Bembereke,10.2283,2.6634,81.9,56,100,8.81,BJ,overcast clouds,2021-04-18 18:46:02
669,Tenenkou,14.4572,-4.9169,96.31,11,97,9.06,ML,overcast clouds,2021-04-18 18:46:02
670,Zapolyarnyy,69.4154,30.8136,39.2,65,0,3.44,RU,clear sky,2021-04-18 18:46:03
671,Hamilton,39.1834,-84.5333,64.99,29,1,6.91,US,clear sky,2021-04-18 18:42:05
672,Sisimiut,66.9395,-53.6735,20.48,65,100,14.63,GL,overcast clouds,2021-04-18 18:44:52
673,Bodaybo,57.8506,114.1933,9.07,95,100,2.68,RU,overcast clouds,2021-04-18 18:46:03
674,Unteni,47.8,26.7833,48.99,76,75,4.61,RO,broken clouds,2021-04-18 18:46:03
675,Canyon Lake,29.8752,-98.2625,66.0,44,83,10.69,US,broken clouds,2021-04-18 18:43:42
676,Gotsu,35.0,132.2167,47.03,73,0,9.24,JP,clear sky,2021-04-18 18:46:04
677,Placerville,38.7296,-120.7986,78.01,11,1,6.91,US,clear sky,2021-04-18 18:45:06
678,Kasongo-Lunda,-6.4667,16.8167,74.07,92,100,0.72,CD,overcast clouds,2021-04-18 18:45:02
679,Kathmandu,27.7167,85.3167,55.4,94,20,3.44,NP,few clouds,2021-04-18 18:45:14
680,Sinnamary,5.3833,-52.95,81.86,69,55,10.78,GF,broken clouds,2021-04-18 18:46:05
681,Mareeba,-17.0,145.4333,75.2,94,75,9.22,AU,broken clouds,2021-04-18 18:46:05
